Transaction ID,CPU Time,I/O on Disk,% Read Operations
329,2.1384,3,91
330,2.0173,3,12
331,2.0778,3,9
332,1.7862,3,87
333,1.9477,3,9
334,1.7888,3,91
335,1.8277,3,4
336,2.1185,3,12
337,2.0373,3,82
338,2.222,2,90
339,1.8865,3,15
340,1.6375,3,89
341,1.8448,3,85
342,2.0945,3,87
343,2.4149,3,88
344,1.8119,3,14
345,1.7526,2,15
346,2.0912,3,5
347,1.9353,3,96
348,1.8961,3,13
349,2.2395,3,88
350,2.219,3,17
351,1.6637,3,12
352,1.8789,3,83
353,2.1387,3,12
354,2.2354,3,5
355,2.1228,3,83
356,1.8589,3,2
357,1.9365,3,15
358,1.8366,3,10
359,2.275,3,12
360,2.1378,2,10
361,2.2029,2,4
362,2.0788,3,4
363,1.9072,3,92
364,2.1513,3,8
365,1.9266,3,97
366,1.6461,2,11
367,1.8498,3,12
368,2.2652,3,5
369,1.9034,3,15
370,2.2198,3,85
371,2.0386,3,94
372,2.133,3,5
373,1.7069,3,85
374,2.133,3,91
375,2.2087,3,2
376,2.4435,3,11
377,1.8826,3,13
378,2.0173,3,94
379,2.2966,3,10
380,2.0467,3,11
381,2.0141,3,16
382,1.888,3,5
383,2.0168,3,13
384,2.3662,3,14
385,1.9548,3,1
386,2.0385,3,86
387,1.9864,3,88
388,2.5444,3,87
389,2.17,3,98
390,1.8729,3,83
391,1.9646,3,8
392,2.2431,3,88
393,2.0667,3,4
394,2.0348,3,14
395,1.9744,3,10
396,2.2002,2,1
397,2.3417,3,8
398,2.1755,3,5
399,2.1188,3,90
400,1.7698,3,87
401,1.8185,3,7
402,1.8248,3,88
403,2.1195,3,89
404,1.7527,3,86
405,1.9116,3,6
406,1.5788,3,0
407,2.0055,3,92
408,2.3212,3,87
409,2.0926,3,10
410,2.1486,2,15
411,1.8547,3,94
412,2.0767,3,12
413,1.7373,3,93
414,1.9583,2,91
415,2.1607,3,82
416,2.0864,3,9
417,1.6147,3,97
418,1.8231,3,94
419,2.1328,3,7
420,2.3443,2,80
421,2.31,3,90
422,1.9408,3,10
423,2.4479,3,16
424,2.2084,3,17
425,1.8125,3,8
426,2.3121,3,12
427,2.3704,3,92
428,2.0551,3,90
429,2.3931,3,10
430,2.2263,3,14
431,2.1808,3,8
432,1.9573,3,88
433,2.2707,3,6
434,2.1393,3,9
435,1.9502,3,11
436,1.8213,3,4
437,1.9332,3,84
438,1.9454,3,87
439,2.062,3,90
440,2.2959,3,86
441,1.9942,3,13
442,1.808,3,78
443,2.1228,3,84
444,2.2654,3,9
445,2.1695,3,3
446,2.4877,2,90
447,2.2872,3,90
448,2.2606,3,9
449,1.9992,3,90
450,1.9185,3,99
451,2.0389,3,88
452,2.2612,3,88
453,2.3566,3,96
454,1.9947,3,89
455,2.1089,3,85
456,2.2087,3,16
457,2.4025,3,0
458,2.1018,3,9
459,1.8209,3,10
460,2.4007,3,12
461,1.9682,3,13
462,2.0661,3,94
463,2.135,3,82
464,2.4099,3,95
465,1.9851,2,8
466,2.0436,3,12
467,1.6618,3,12
468,2.29,3,11
469,2.1413,3,9
470,2.1297,3,94
471,2.199,3,99
472,1.6462,3,87
473,2.0676,3,12
474,2.0794,2,90
475,2.0599,3,9
476,2.1468,3,85
477,2.063,3,9
478,1.9753,3,84
479,2.0295,2,9
480,2.2335,3,6
481,2.2499,3,13
482,2.2463,3,87
483,1.6944,3,21
484,1.7025,3,10
485,2.0779,3,4
486,2.1403,3,15
487,2.1465,3,20
488,2.3559,3,12
489,2.2333,3,89
490,2.1922,3,92
491,2.0985,3,80
492,2.2018,3,90
493,1.8985,3,84
494,2.1604,3,100
495,2.1568,3,9
496,1.7476,3,97
497,1.6523,3,10
498,1.9798,3,15
499,2.0865,3,96
500,2.0183,3,15
501,1.947,3,88
502,1.9471,3,90
503,1.9928,3,0
504,2.1155,3,85
505,1.7283,3,16
506,2.0629,3,94
507,2.0742,3,91
508,2.168,3,86
509,1.9988,3,13
510,2.3359,3,9
511,2.1163,3,9
512,2.002,3,9
513,2.0143,2,86
514,2.2408,3,88
515,2.1509,3,99
516,1.8902,3,17
517,1.9375,3,87
518,1.7274,3,89
519,2.5211,3,8
520,2.1553,3,84
521,2.2185,3,12
522,2.495,3,9
523,2.2853,3,86
524,2.0054,3,91
525,2.2141,3,89
526,2.4041,3,9
527,1.8141,3,7
528,1.9215,3,91
529,2.1725,3,14
530,1.9135,3,86
531,1.7178,3,12
532,1.9872,3,5
533,2.0327,3,16
534,2.0947,3,12
535,2.3308,3,13
536,2.3474,2,92
537,2.2712,3,85
538,1.7885,3,3
539,2.1987,3,87
540,1.9545,3,90
541,1.9248,3,15
542,1.9824,3,7
543,2.0831,3,90
544,1.5374,2,13
545,2.4607,3,6
546,2.4493,3,11
547,2.0449,3,10
548,2.688,3,11
549,1.8203,2,94
550,2.2953,3,95
551,2.0793,3,95
552,1.8505,3,8
553,2.0358,3,3
554,2.2719,3,19
555,2.3011,3,97
556,2.042,3,88
557,2.1054,3,95
558,2.0165,3,6
559,2.2973,3,95
560,2.0035,3,7
561,2.3679,3,15
562,2.1687,3,94
563,2.0195,3,84
564,2.0396,3,95
565,2.4983,3,13
566,2.0604,3,6
567,1.7159,3,8
568,2.18,2,92
569,2.0973,3,8
570,2.2357,3,7
571,2.4139,3,97
572,1.6454,3,89
573,2.1754,3,8
574,2.2746,3,16
575,2.0461,3,99
576,2.046,3,89
577,1.7798,3,12
578,2.0753,3,90
579,2.1087,3,91
580,2.0732,3,84
581,1.5177,3,87
582,2.2645,3,5
583,2.3327,3,92
584,2.2715,3,94
585,2.0184,3,97
586,2.3456,3,89
587,2.2501,3,20
588,2.0524,3,16
589,1.969,3,100
590,2.0585,3,9
591,2.2735,3,3
592,2.4696,3,94
593,1.9238,3,91
594,2.1284,3,90
595,1.8068,2,85
596,2.0612,3,81
597,2.088,3,5
598,2.1143,3,20
599,1.7649,3,100
600,2.1448,3,6
601,1.8138,3,22
602,1.9746,3,83
603,2.0494,3,18
604,2.4985,3,83
605,1.7737,3,3
606,1.7089,3,5
607,1.9541,3,98
608,2.0337,3,14
609,1.7763,3,90
610,2.031,3,6
611,2.2061,3,93
612,2.037,3,5
613,2.3293,2,4
614,1.7191,3,14
615,2.1302,3,5
616,1.9732,3,90
617,1.9333,3,92
618,1.9051,3,83
619,1.8519,3,12
620,1.6082,3,10
621,1.7629,3,88
622,2.0296,3,10
623,2.0681,3,90
624,1.8936,3,94
625,1.7764,3,9
626,2.0274,3,15
627,2.1742,3,85
628,1.6824,3,91
629,2.3777,3,85
630,2.2485,3,90
631,1.7791,3,15
632,1.8028,3,82
633,2.1325,3,83
634,2.2107,3,85
635,2.3664,3,86
636,1.9573,3,14
637,1.9745,3,6
638,2.168,3,80
639,2.3025,3,89
640,2.1104,3,90
641,1.9939,3,91
642,1.7303,3,87
643,1.9405,3,10
644,1.8835,3,85
645,1.9464,3,90
646,2.1705,3,91
647,2.0389,3,16
648,2.0719,3,92
649,2.2539,3,1
650,2.4829,3,86
651,2.2902,3,11
652,2.0964,3,14
653,1.8351,3,11
654,1.8184,3,93
655,2.1186,3,16
656,1.8719,3,10
657,1.9503,3,22
658,1.9147,3,7
659,2.7158,3,84
660,1.9744,3,91
661,1.9967,3,82
662,1.9612,3,82
663,2.0676,3,94
664,1.9265,3,7
665,1.8402,3,11
666,1.7665,3,99
667,1.992,3,82
668,1.9795,3,90
669,2.0814,3,87
670,2.2369,3,94
671,1.674,3,89
672,2.0474,3,93
673,2.0643,3,6
674,2.3333,3,90
675,2.1991,2,10
676,2.1372,3,12
677,2.2197,3,94
678,1.8674,3,11
679,2.0487,3,2
680,2.0453,3,90
681,2.2041,3,90
682,1.8697,3,4
683,2.0842,3,10
684,1.9978,3,11
685,1.911,3,93
686,2.3009,3,12
687,2.0099,3,83
688,2.043,3,11
689,1.8687,3,11
690,1.9029,2,89
691,2.0625,3,15
692,2.3979,3,16
693,1.8466,3,17
694,1.8791,3,4
695,1.9848,3,8
696,1.7543,3,3
697,1.6941,3,97
698,2.3352,3,89
699,2.2798,3,86
700,1.7606,3,16
701,1.9666,3,89
702,1.6881,3,9
703,1.8718,3,86
704,2.1694,3,84
705,2.5138,3,93
706,1.8636,3,11
707,1.8672,3,86
708,2.3174,3,12
709,2.0766,3,13
710,2.2697,3,92
711,2.2362,3,9
712,2.0149,3,94
713,2.0288,3,91
714,2.1878,3,86
715,2.0464,3,12
716,1.9323,3,13
717,1.9583,3,89
718,2.0988,3,92
719,2.2072,2,93
720,2.0019,3,8
721,1.8752,3,14
722,2.1784,3,1
723,1.7174,3,3
724,2.2982,3,97
725,2.0417,3,91
726,2.3018,3,92
727,2.2628,3,83
728,2.0432,3,87
729,1.9249,3,87
730,2.1395,2,91
731,2.0784,3,86
732,2.3688,2,100
733,2.0373,3,9
734,2.0776,3,8
735,1.9459,3,95
736,2.036,3,88
737,1.9664,3,6
738,2.0101,2,94
739,2.0807,3,89
740,2.0005,3,97
741,2.0194,3,98
742,2.0579,3,14
743,2.4727,3,88
744,1.9119,3,10
745,2.1408,3,24
746,2.4433,3,0
747,2.1067,2,7
748,2.0158,2,17
749,2.185,3,20
750,2.1469,3,96
751,2.2443,2,100
752,2.1474,3,6
753,2.186,3,9
754,2.3227,3,87
755,2.1126,3,95
756,2.0473,3,11
757,1.9765,3,87
758,2.1526,3,77
759,2.0507,2,7
760,2.2326,3,93
761,1.6142,3,11
762,1.9215,3,82
763,1.8303,3,88
764,2.0726,3,88
765,1.7547,3,91
766,2.2697,3,87
767,2.2151,3,7
768,1.9054,2,94
769,1.9786,3,12
770,1.8233,3,16
771,1.9412,3,7
772,2.0334,3,94
773,2.0571,3,99
774,1.8379,3,9
775,1.9506,3,81
776,2.4138,3,13
777,2.1275,2,84
778,1.9686,3,82
779,2.5581,3,80
780,1.6172,3,90
781,1.9204,2,86
782,1.8745,2,89
783,2.1207,3,99
784,2.4556,3,14
785,1.8187,3,14
786,1.7546,3,89
787,1.9444,3,88
788,1.9892,3,20
789,2.205,3,15
790,2.0941,3,88
791,2.0595,3,14
792,2.0523,3,94
793,2.3971,3,14
794,2.4407,3,87
795,1.8441,3,13
796,2.1833,3,93
797,2.0431,3,88
798,2.1018,3,100
799,2.4082,3,86
800,2.1271,3,92
801,2.0964,3,96
802,1.7575,3,84
803,2.2925,3,13
804,1.7739,3,7
805,1.9056,3,81
806,2.1672,3,13
807,2.136,3,95
808,1.8838,3,86
809,2.3663,3,11
810,2.1423,3,11
811,1.9699,3,0
812,1.7501,3,84
813,1.8554,3,88
814,1.8457,3,5
815,2.0907,3,17
816,2.0762,3,97
817,2.0203,3,92
818,2.0056,3,93
819,2.0212,3,87
820,1.98,3,94
821,2.1091,3,22
822,2.2241,3,87
823,1.9204,3,14
824,2.2524,3,13
825,2.0563,3,84
826,2.0905,3,1
827,2.0774,3,12
828,2.0079,3,8
829,1.8894,3,96
830,1.7233,3,95
831,1.998,3,11
832,2.1614,3,85
833,2.347,3,18
834,1.8709,3,12
835,1.89,3,90
836,2.4669,2,80
837,1.9367,3,94
838,2.1345,3,4
839,1.878,3,80
840,2.1105,3,83
841,2.295,3,5
842,2.1811,3,15
843,1.9247,2,93
844,2.5525,2,8
845,2.1351,3,10
846,2.1337,2,99
847,2.108,3,88
848,1.9252,3,90
849,2.2338,3,82
850,2.1038,3,91
851,2.0147,2,7
852,1.9121,3,93
853,2.0134,3,87
854,2.0625,3,94
855,1.8686,3,14
856,2.3176,3,11
857,1.8189,3,2
858,1.7609,3,89
859,1.992,3,90
860,2.4364,3,6
861,1.9243,3,88
862,2.1559,3,15
863,2.1643,3,83
864,2.0818,3,13
865,1.8478,3,93
866,2.273,3,89
867,2.0978,3,87
868,2.1619,3,88
869,2.0741,3,6
870,2.1822,3,7
871,2.1706,3,93
872,2.2333,3,6
873,2.1195,3,97
874,2.4596,3,86
875,2.41,3,89
876,1.884,3,89
877,1.9006,3,81
878,2.1394,3,79
879,2.1276,3,0
880,2.0302,3,8
881,2.018,3,82
882,1.9367,3,81
883,2.2456,3,94
884,2.2385,3,94
885,2.3427,3,93
886,2.1784,3,89
887,2.5148,3,14
888,2.0105,3,100
889,1.848,3,6
890,2.4896,3,11
891,2.0677,3,9
892,1.9823,3,95
893,1.6194,3,79
894,1.8184,3,8
895,2.429,4,14
896,1.7991,3,95
897,2.1651,3,15
898,1.9363,3,86
899,2.1327,3,93
900,2.2053,2,7
901,1.5396,3,86
902,1.7216,3,82
903,1.8495,3,89
904,2.123,3,3
905,2.1212,3,92
906,2.492,3,90
907,1.9468,3,87
908,2.2188,3,86
909,1.5286,3,94
910,1.9342,3,100
911,1.7676,3,9
912,2.1902,3,94
913,1.6811,3,92
914,2.1335,2,95
915,1.9049,3,94
916,1.9507,3,92
917,1.9098,3,6
918,1.811,3,4
919,2.2017,3,10
920,2.0776,3,96
921,2.4762,3,17
922,1.9802,3,11
923,2.0088,3,4
924,2.3113,3,85
925,2.2167,3,88
926,2.3039,3,13
927,1.9046,3,91
928,2.5806,3,8
929,1.8927,3,5
930,2.08,3,0
931,1.9652,3,86
932,2.3111,3,11
933,1.8407,3,83
934,2.3691,3,0
935,2.0988,3,18
936,1.3393,3,95
937,2.4997,3,95
938,2.0181,3,82
939,2.0202,3,15
940,2.0616,3,87
941,2.3566,3,90
942,2.0219,3,8
943,1.9669,3,5
944,1.8383,3,14
945,2.1808,3,85
946,2.0398,3,0
947,2.4109,3,7
948,2.1431,3,93
949,2.139,3,5
950,2.0462,3,87
951,2.0623,3,97
952,2.3066,3,0
953,1.7435,3,91
954,2.0443,3,97
955,2.5228,3,82
956,2.1718,3,86
957,1.8045,3,86
958,1.9848,3,94
959,1.9941,3,9
960,2.5681,3,95
961,2.4798,3,5
962,2.0811,3,7
963,1.8604,3,12
964,2.5996,3,89
965,2.466,3,96
966,2.4309,3,86
967,2.5023,2,99
968,2.1283,3,13
969,2.0894,2,89
970,2.1776,3,8
971,1.8982,3,97
972,1.8732,3,87
973,2.2725,3,92
974,2.1337,3,100
975,1.8864,3,93
976,2.0095,3,3
977,2.4682,3,96
978,2.2625,3,8
979,1.9024,3,6
980,2.6768,3,93
981,2.0344,3,81
982,2.1136,3,86
983,2.0174,3,92
984,2.0318,3,0
985,1.6892,3,90
986,2.2197,3,9
987,2.2223,3,91
988,2.1414,2,19
989,1.8799,3,98
990,1.8077,3,86
991,2.1323,3,14
992,2.4082,3,20
993,1.7537,3,89
994,1.6781,3,0
995,2.3051,3,97
996,2.0107,3,91
997,2.2114,3,0
998,2.2025,3,11
999,2.1476,3,4
1000,2.1632,3,90
1001,2.0747,3,91
1002,2.5337,3,100
1003,2.042,3,17
1004,1.5437,3,11
1005,1.6704,3,9
1006,2.3568,2,11
1007,2.1255,3,99
1008,2.6719,3,12
1009,2.2339,3,16
1010,1.9808,3,6
1011,2.4334,3,99
1012,2.109,3,87
1013,2.4171,3,13
1014,1.7587,3,84
1015,1.9832,3,85
1016,2.4277,3,87
1017,2.2995,3,97
1018,2.0195,3,20
1019,1.7745,3,18
1020,2.138,3,92
1021,2.2822,3,9
1022,1.9706,2,87
1023,2.0781,3,7
1024,2.2522,3,86
1025,2.2775,3,87
1026,2.5582,3,10
1027,1.7712,3,1
1028,2.4167,3,15
1029,2.3366,3,89
1030,2.1547,3,9
1031,2.2708,3,86
1032,1.8974,3,96
1033,2.222,3,17
1034,2.0686,3,0
1035,2.0175,3,20
1036,2.1089,3,13
1037,1.8589,3,91
1038,2.0122,3,11
1039,1.9247,3,11
1040,1.5277,3,10
1041,2.1697,2,2
1042,2.0107,3,9
1043,2.056,3,88
1044,2.0293,3,87
1045,1.9619,3,15
1046,2.155,3,87
1047,2.0828,3,91
1048,1.82,3,85
1049,2.1023,3,15
1050,2.0593,3,89
1051,2.1743,3,4
1052,2.3234,3,14
1053,2.118,3,93
1054,1.906,3,91
1055,2.371,3,8
1056,1.9792,3,23
1057,1.9964,3,5
1058,2.0518,3,83
1059,2.4267,3,87
1060,1.8248,3,12
1061,1.9747,3,86
1062,2.1672,3,91
1063,2.0123,3,90
1064,2.348,3,12
1065,2.1062,3,0
1066,1.9099,3,10
1067,2.0322,3,6
1068,2.313,3,85
1069,2.1657,3,8
1070,2.1051,3,86
1071,2.2417,3,88
1072,2.3319,3,8
1073,1.8226,3,87
1074,2.1517,3,6
1075,1.8663,3,10
1076,1.6756,3,86
1077,1.8208,3,95
1078,2.0925,3,9
1079,2.1468,3,84
1080,2.3163,3,16
1081,2.004,3,21
1082,2.4125,3,96
1083,2.2814,3,17
1084,2.151,3,95
1085,2.1346,3,9
1086,2.1516,3,91
1087,2.2833,3,86
1088,1.9754,2,10
1089,1.7837,3,92
1090,1.9852,3,85
1091,2.0815,3,12
1092,2.0391,3,94
1093,2.401,3,8
1094,1.9453,3,94
1095,2.032,3,7
1096,2.488,3,5
1097,1.9001,3,5
1098,1.9863,3,94
1099,1.8127,3,91
1100,2.2341,2,19
1101,2.0817,3,86
1102,1.9997,3,88
1103,1.8728,3,7
1104,2.0351,3,15
1105,1.9697,3,91
1106,2.1035,3,90
1107,2.3675,3,8
1108,2.3605,2,3
1109,2.3477,2,12
1110,2.3058,3,15
1111,1.6911,3,96
1112,2.0194,3,0
1113,1.9669,3,91
1114,2.179,2,100
1115,2.0015,3,80
1116,1.9563,3,92
1117,1.8978,3,3
1118,2.2933,3,80
1119,1.7416,3,14
1120,2.2274,2,15
1121,2.1015,3,7
1122,2.0304,3,11
1123,2.0373,3,93
1124,1.7684,3,13
1125,2.1068,3,99
1126,1.9391,3,96
1127,2.0514,3,89
1128,1.6887,3,11
1129,2.1006,3,82
1130,2.3139,3,19
1131,2.0089,3,10
1132,2.003,3,88
1133,1.5918,3,88
1134,1.8282,3,10
1135,2.1543,3,15
1136,2.168,3,93
1137,2.0662,3,90
1138,1.8805,3,12
1139,2.255,3,12
1140,2.1218,3,92
1141,1.6715,3,98
1142,1.9764,3,8
1143,2.1918,3,4
1144,2.3415,2,3
1145,2.0761,3,12
1146,2.2445,3,83
1147,2.2561,3,91
1148,2.0614,3,90
1149,2.0158,3,86
1150,1.9158,3,90
1151,2.1632,3,92
1152,1.9504,3,12
1153,2.1123,3,9
1154,1.9757,3,15
1155,2.0288,3,87
1156,1.7295,3,80
1157,2.1917,3,91
1158,2.1883,3,73
1159,2.0822,3,7
1160,2.3874,3,15
1161,1.6662,3,93
1162,2.1442,3,2
1163,2.0207,3,2
1164,1.758,3,82
1165,2.2667,3,5
1166,2.3696,3,11
1167,2.3436,3,13
1168,2.3461,3,10
1169,2.1341,3,5
1170,2.1223,3,90
1171,2.1783,3,88
1172,1.9023,3,10
1173,2.1329,3,0
1174,2.2492,3,99
1175,2.1715,2,100
1176,1.7301,3,87
1177,1.7077,3,98
1178,1.9536,3,90
1179,1.8728,3,8
1180,2.333,3,89
1181,1.9661,3,16
1182,2.2791,3,21
1183,2.1837,2,14
1184,1.8769,3,5
1185,2.1512,2,93
1186,1.8227,3,9
1187,2.4241,3,4
1188,2.1679,2,15
1189,1.8126,2,5
1190,2.0875,3,23
1191,2.2906,3,8
1192,2.3416,3,83
1193,2.218,3,8
1194,1.9204,3,93
1195,2.2853,3,7
1196,1.9053,3,81
1197,2.0643,3,90
1198,1.8865,3,96
1199,2.3239,3,13
1200,2.0789,3,8
1201,2.1457,3,97
1202,1.9043,3,95
1203,2.1722,3,22
1204,2.171,3,90
1205,2.1562,3,7
1206,1.9784,3,22
1207,2.576,3,11
1208,2.0501,3,8
1209,2.4976,3,85
1210,1.9208,3,84
1211,2.1867,3,93
1212,2.0624,3,92
1213,2.0561,3,90
1214,2.3817,2,7
1215,2.198,3,5
1216,2.5249,3,89
1217,2.1933,2,12
1218,2.2109,2,9
1219,2.1335,3,11
1220,1.8156,3,12
1221,1.9995,3,8
1222,1.8358,3,12
1223,2.2343,3,93
1224,2.1055,2,14
1225,1.8813,3,93
1226,2.2973,3,97
1227,1.8104,3,99
1228,2.1007,3,7
1229,2.1398,3,100
1230,1.8983,3,91
1231,2.3367,3,11
1232,2.2196,3,6
1233,2.0407,3,95
1234,1.4745,3,13
1235,1.7315,3,95
1236,2.0314,3,22
1237,2.2603,3,15
1238,1.989,3,89
1239,1.8813,3,93
1240,1.9916,3,3
1241,2.4369,3,93
1242,1.8833,3,6
1243,1.8925,3,75
1244,2.0357,3,7
1245,1.9143,3,13
1246,2.6046,3,5
1247,2.0129,2,87
1248,2.0786,3,92
1249,1.8831,3,86
1250,2.0828,3,20
1251,2.1392,3,85
1252,2.0362,3,99
1253,2.1932,3,7
1254,1.9013,3,18
1255,2.2855,3,88
